# gmm-acc-stats-ali exp/tri3b/8.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/1/utt2spk scp:data/train/split8/1/cmvn.scp scp:data/train/split8/1/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/1/utt2spk ark:exp/tri3b/trans.1 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.1.gz|" exp/tri3b/8.1.acc 
# Started at Tue May  7 16:08:52 KST 2019
#
gmm-acc-stats-ali exp/tri3b/8.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/1/utt2spk scp:data/train/split8/1/cmvn.scp scp:data/train/split8/1/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/1/utt2spk ark:exp/tri3b/trans.1 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.1.gz|' exp/tri3b/8.1.acc 
apply-cmvn --utt2spk=ark:data/train/split8/1/utt2spk scp:data/train/split8/1/cmvn.scp scp:data/train/split8/1/feats.scp ark:- 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
splice-feats ark:- ark:- 
transform-feats --utt2spk=ark:data/train/split8/1/utt2spk ark:exp/tri3b/trans.1 ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s001fcc3pjh02-20150804-Korean-set001050 avg. like is -49.251 over 858 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2050 utterances; for utterance s003mkw2hds00-20150804-Korean-set003055 avg. like is -48.6441 over 758 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2100 utterances; for utterance s003mkw2hds00-20150804-Korean-set003105 avg. like is -50.3125 over 958 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2150 utterances; for utterance s003mkw2hds00-20150804-KoreanbabbleSNR10-set003050 avg. like is -49.8716 over 768 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2200 utterances; for utterance s003mkw2hds00-20150804-KoreanbabbleSNR10-set003100 avg. like is -48.7274 over 748 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2250 utterances; for utterance s004fks3kmj00-20150804-Korean-set004045 avg. like is -46.6367 over 598 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2300 utterances; for utterance s004fks3kmj00-20150804-Korean-set004095 avg. like is -48.1056 over 588 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2350 utterances; for utterance s004fks3kmj00-20150804-Koreanleopard2SNR10-set004040 avg. like is -41.7607 over 518 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2400 utterances; for utterance s004fks3kmj00-20150804-Koreanleopard2SNR10-set004090 avg. like is -44.6663 over 678 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2450 utterances; for utterance s004m2mjh00-20150804-Korean-set004035 avg. like is -54.862 over 252 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2500 utterances; for utterance s004m2mjh00-20150804-Korean-set004085 avg. like is -56.3415 over 313 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2550 utterances; for utterance s004m2mjh00-20150804-KoreanpinkSNR10-set004029 avg. like is -43.139 over 331 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2600 utterances; for utterance s004m2mjh00-20150804-KoreanpinkSNR10-set004079 avg. like is -43.2503 over 309 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2650 utterances; for utterance s004m2mjh00_r-20150804-Korean-set004023 avg. like is -52.4083 over 319 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2700 utterances; for utterance s004m2mjh00_r-20150804-Korean-set004073 avg. like is -51.9449 over 287 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2750 utterances; for utterance s004m2mjh00_r-20150804-Koreanbabble2SNR10-set004017 avg. like is -49.9092 over 291 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2800 utterances; for utterance s004m2mjh00_r-20150804-Koreanbabble2SNR10-set004067 avg. like is -48.8963 over 453 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2850 utterances; for utterance s004mcc5cbb00-20150804-Korean-set004011 avg. like is -53.8243 over 908 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2900 utterances; for utterance s004mcc5cbb00-20150804-Korean-set004061 avg. like is -52.2156 over 638 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2950 utterances; for utterance s004mcc5cbb00-20150804-Koreanfactory1SNR10-set004006 avg. like is -44.1646 over 1078 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3000 utterances; for utterance s004mcc5cbb00-20150804-Koreanfactory1SNR10-set004056 avg. like is -43.5501 over 768 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3050 utterances; for utterance s005fcc3ljs00-20150804-Korean-set005001 avg. like is -59.8247 over 586 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3100 utterances; for utterance s005fcc3ljs00-20150804-Korean-set005051 avg. like is -52.7326 over 778 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3150 utterances; for utterance s005fcc3ljs00-20150804-Korean-set005101 avg. like is -51.1807 over 438 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3200 utterances; for utterance s005fcc3ljs00-20150804-KoreanhfchannelSNR10-set005046 avg. like is -42.9911 over 788 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3250 utterances; for utterance s005fcc3ljs00-20150804-KoreanhfchannelSNR10-set005096 avg. like is -42.0132 over 438 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3300 utterances; for utterance s005m2jjp00-20150804-Korean-set005041 avg. like is -51.5489 over 366 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3350 utterances; for utterance s005m2jjp00-20150804-Korean-set005091 avg. like is -53.153 over 479 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3400 utterances; for utterance s005m2jjp00-20150804-KoreanvolvoSNR10-set005035 avg. like is -48.7758 over 551 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3450 utterances; for utterance s005m2jjp00-20150804-KoreanvolvoSNR10-set005085 avg. like is -51.0094 over 205 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3500 utterances; for utterance s005m2jjp00_r-20150804-Korean-set005029 avg. like is -55.1977 over 693 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3550 utterances; for utterance s005m2jjp00_r-20150804-Korean-set005079 avg. like is -54.9117 over 287 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3600 utterances; for utterance s005m2jjp00_r-20150804-Koreanfactory2SNR10-set005023 avg. like is -45.6387 over 304 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3650 utterances; for utterance s005m2jjp00_r-20150804-Koreanfactory2SNR10-set005073 avg. like is -43.9522 over 333 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3700 utterances; for utterance s006fss3kds01-20150804-Korean-set006017 avg. like is -49.9215 over 678 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3750 utterances; for utterance s006fss3kds01-20150804-Korean-set006067 avg. like is -52.8647 over 1078 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3800 utterances; for utterance s006fss3kds01-20150804-Koreanfactory1SNR10-set006012 avg. like is -44.1997 over 1358 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3850 utterances; for utterance s006fss3kds01-20150804-Koreanfactory1SNR10-set006062 avg. like is -43.6172 over 668 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3900 utterances; for utterance s006m2ybh00_r-20150804-Korean-set006007 avg. like is -55.9338 over 636 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3950 utterances; for utterance s006m2ybh00_r-20150804-Korean-set006057 avg. like is -53.5697 over 347 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4000 utterances; for utterance s006m2ybh00_r-20150804-KoreanwhiteSNR10-set006002 avg. like is -44.528 over 482 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4050 utterances; for utterance s006m2ybh00_r-20150804-KoreanwhiteSNR10-set006052 avg. like is -41.7311 over 364 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4100 utterances; for utterance s006m2ybh00_r-20150804-KoreanwhiteSNR10-set006102 avg. like is -44.423 over 464 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4150 utterances; for utterance s006mjr2kmh00-20150804-Korean-set006047 avg. like is -48.729 over 538 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4200 utterances; for utterance s006mjr2kmh00-20150804-Korean-set006097 avg. like is -47.7892 over 668 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4250 utterances; for utterance s006mjr2kmh00-20150804-Koreancar1SNR10-set006042 avg. like is -45.2916 over 768 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4300 utterances; for utterance s006mjr2kmh00-20150804-Koreancar1SNR10-set006092 avg. like is -43.6964 over 658 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4350 utterances; for utterance s007fss4yjh04-20150804-Korean-set007037 avg. like is -51.9433 over 838 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4400 utterances; for utterance s007fss4yjh04-20150804-Korean-set007087 avg. like is -48.5161 over 608 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4450 utterances; for utterance s007fss4yjh04-20150804-Koreanleopard2SNR10-set007032 avg. like is -45.4539 over 1048 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4500 utterances; for utterance s007fss4yjh04-20150804-Koreanleopard2SNR10-set007082 avg. like is -44.4642 over 658 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4550 utterances; for utterance s007m2yyp00-20150804-Korean-set007027 avg. like is -52.644 over 524 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4600 utterances; for utterance s007m2yyp00-20150804-Korean-set007077 avg. like is -54.0516 over 744 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4650 utterances; for utterance s007m2yyp00-20150804-Koreanbabble1SNR10-set007022 avg. like is -48.3909 over 344 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4700 utterances; for utterance s007m2yyp00-20150804-Koreanbabble1SNR10-set007072 avg. like is -47.9923 over 525 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4750 utterances; for utterance s007m2yyp00_r-20150804-Korean-set007017 avg. like is -52.1894 over 422 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4800 utterances; for utterance s007m2yyp00_r-20150804-Korean-set007067 avg. like is -55.6263 over 1316 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4850 utterances; for utterance s007m2yyp00_r-20150804-Koreanfactory2SNR10-set007012 avg. like is -46.9664 over 883 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4900 utterances; for utterance s007m2yyp00_r-20150804-Koreanfactory2SNR10-set007062 avg. like is -47.1906 over 405 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4950 utterances; for utterance s007mkw2jmg00-20150804-Korean-set007007 avg. like is -49.4593 over 1068 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5000 utterances; for utterance s007mkw2jmg00-20150804-Korean-set007057 avg. like is -47.8669 over 868 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5050 utterances; for utterance s007mkw2jmg00-20150804-KoreanleopardSNR10-set007002 avg. like is -43.9204 over 878 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5100 utterances; for utterance s007mkw2jmg00-20150804-KoreanleopardSNR10-set007052 avg. like is -44.2793 over 758 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5150 utterances; for utterance s007mkw2jmg00-20150804-KoreanleopardSNR10-set007102 avg. like is -44.6871 over 1168 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5200 utterances; for utterance s008fcc3jmo00-20150804-Korean-set008047 avg. like is -48.216 over 568 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5250 utterances; for utterance s008fcc3jmo00-20150804-Korean-set008097 avg. like is -54.1102 over 568 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5300 utterances; for utterance s008fcc3jmo00-20150804-KoreanwhiteSNR10-set008042 avg. like is -40.2033 over 578 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5350 utterances; for utterance s008fcc3jmo00-20150804-KoreanwhiteSNR10-set008092 avg. like is -41.7478 over 678 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5400 utterances; for utterance s008m2lhs00-20150804-Korean-set008037 avg. like is -51.7542 over 314 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5450 utterances; for utterance s008m2lhs00-20150804-Korean-set008087 avg. like is -54.1971 over 296 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5500 utterances; for utterance s008m2lhs00-20150804-KoreanleopardSNR10-set008032 avg. like is -48.0813 over 386 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5550 utterances; for utterance s008m2lhs00-20150804-KoreanleopardSNR10-set008082 avg. like is -49.4149 over 305 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5600 utterances; for utterance s008m2lhs00_r-20150804-Korean-set008027 avg. like is -51.19 over 375 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5650 utterances; for utterance s008m2lhs00_r-20150804-Korean-set008077 avg. like is -52.7406 over 408 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5700 utterances; for utterance s008m2lhs00_r-20150804-Koreanleopard2SNR10-set008022 avg. like is -49.2312 over 251 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5750 utterances; for utterance s008m2lhs00_r-20150804-Koreanleopard2SNR10-set008072 avg. like is -50.1771 over 772 frames.
