# gmm-acc-stats-ali exp/tri3b/25.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/8/utt2spk scp:data/train/split8/8/cmvn.scp scp:data/train/split8/8/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/8/utt2spk ark:exp/tri3b/trans.8 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.8.gz|" exp/tri3b/25.8.acc 
# Started at Tue May  7 16:20:41 KST 2019
#
gmm-acc-stats-ali exp/tri3b/25.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/8/utt2spk scp:data/train/split8/8/cmvn.scp scp:data/train/split8/8/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/8/utt2spk ark:exp/tri3b/trans.8 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.8.gz|' exp/tri3b/25.8.acc 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/8/utt2spk scp:data/train/split8/8/cmvn.scp scp:data/train/split8/8/feats.scp ark:- 
splice-feats ark:- ark:- 
transform-feats --utt2spk=ark:data/train/split8/8/utt2spk ark:exp/tri3b/trans.8 ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s03m2ssjes02-20150804-Korean-cps03051 avg. like is -45.9878 over 178 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1050 utterances; for utterance s03m2ssjhs02-20150804-Korean-cps03240 avg. like is -43.2681 over 133 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1100 utterances; for utterance s03m2ssjhs02-20150804-Korean-cps03291 avg. like is -47.9124 over 146 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1150 utterances; for utterance s03m2ssjhs02-20150804-Korean-cps03343 avg. like is -46.0741 over 122 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1200 utterances; for utterance s03m2ssjhs02-20150804-Korean-cps03397 avg. like is -50.5058 over 146 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1250 utterances; for utterance s03m2ssjhs02-20150804-KoreanleopardSNR10-cps03033 avg. like is -44.6973 over 137 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1300 utterances; for utterance s03m2ssjhs02-20150804-KoreanleopardSNR10-cps03087 avg. like is -44.9777 over 140 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1350 utterances; for utterance s03m2ssjhs02-20150804-KoreanleopardSNR10-cps03142 avg. like is -44.3051 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1400 utterances; for utterance s03m2ssjhs02-20150804-KoreanleopardSNR10-cps03194 avg. like is -45.2335 over 106 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1450 utterances; for utterance s03m2ssjhs02-20150804-KoreanleopardSNR10-cps03246 avg. like is -42.7854 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1500 utterances; for utterance s03m2ssjhs02-20150804-KoreanleopardSNR10-cps03297 avg. like is -42.3178 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1550 utterances; for utterance s03m2ssjhs02-20150804-KoreanleopardSNR10-cps03350 avg. like is -44.0431 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1600 utterances; for utterance s03m2ssjhs02-20150804-KoreanleopardSNR10-cps03404 avg. like is -44.607 over 153 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1650 utterances; for utterance s03m2sssth01-20150804-Korean-cps03037 avg. like is -40.309 over 132 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1700 utterances; for utterance s03m2sssth01-20150804-Korean-cps03089 avg. like is -51.4046 over 124 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1750 utterances; for utterance s03m2sssth01-20150804-Korean-cps03139 avg. like is -47.9789 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1800 utterances; for utterance s03m2sssth01-20150804-Korean-cps03190 avg. like is -52.0427 over 119 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1850 utterances; for utterance s03m2sssth01-20150804-Korean-cps03244 avg. like is -50.2746 over 133 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1900 utterances; for utterance s03m2sssth01-20150804-Korean-cps03295 avg. like is -53.2093 over 126 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1950 utterances; for utterance s03m2sssth01-20150804-Korean-cps03345 avg. like is -45.733 over 166 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2000 utterances; for utterance s03m2sssth01-20150804-Korean-cps03397 avg. like is -47.9054 over 160 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2050 utterances; for utterance s03m2sssth01-20150804-KoreanleopardSNR10-cps03030 avg. like is -43.8205 over 146 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2100 utterances; for utterance s03m2sssth01-20150804-KoreanleopardSNR10-cps03082 avg. like is -40.8578 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2150 utterances; for utterance s03m2sssth01-20150804-KoreanleopardSNR10-cps03132 avg. like is -39.8762 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2200 utterances; for utterance s03m2sssth01-20150804-KoreanleopardSNR10-cps03183 avg. like is -46.2893 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2250 utterances; for utterance s03m2sssth01-20150804-KoreanleopardSNR10-cps03237 avg. like is -42.1055 over 133 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2300 utterances; for utterance s03m2sssth01-20150804-KoreanleopardSNR10-cps03288 avg. like is -45.508 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2350 utterances; for utterance s03m2sssth01-20150804-KoreanleopardSNR10-cps03338 avg. like is -44.4761 over 121 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2400 utterances; for utterance s03m2sssth01-20150804-KoreanleopardSNR10-cps03389 avg. like is -42.3254 over 95 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2450 utterances; for utterance s03m2sstsg01-20150804-Korean-cps03022 avg. like is -44.1478 over 181 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2500 utterances; for utterance s03m2sstsg01-20150804-Korean-cps03074 avg. like is -46.441 over 161 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2550 utterances; for utterance s03m2sstsg01-20150804-Korean-cps03124 avg. like is -44.4358 over 154 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2600 utterances; for utterance s03m2sstsg01-20150804-Korean-cps03174 avg. like is -51.2716 over 176 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2650 utterances; for utterance s03m2sstsg01-20150804-Korean-cps03225 avg. like is -43.4991 over 216 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2700 utterances; for utterance s03m2sstsg01-20150804-Korean-cps03275 avg. like is -38.9256 over 131 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2750 utterances; for utterance s03m2sstsg01-20150804-Korean-cps03327 avg. like is -44.5967 over 239 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2800 utterances; for utterance s03m2sstsg01-20150804-Korean-cps03377 avg. like is -42.759 over 159 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2850 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03010 avg. like is -39.715 over 242 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2900 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03062 avg. like is -38.6201 over 180 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2950 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03112 avg. like is -36.9101 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3000 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03162 avg. like is -39.7658 over 164 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3050 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03212 avg. like is -39.0308 over 187 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3100 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03263 avg. like is -35.7614 over 167 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3150 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03315 avg. like is -37.6469 over 159 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3200 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03365 avg. like is -37.6506 over 183 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3250 utterances; for utterance s03m2sstsg01-20150804-KoreancarSNR10-cps03416 avg. like is -40.2373 over 176 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3300 utterances; for utterance s03m3ccgwb01-20150804-Korean-cps03048 avg. like is -56.2669 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3350 utterances; for utterance s03m3ccgwb01-20150804-Korean-cps03098 avg. like is -52.3693 over 136 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3400 utterances; for utterance s03m3ccgwb01-20150804-Korean-cps03151 avg. like is -50.4763 over 120 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3450 utterances; for utterance s03m3ccgwb01-20150804-Korean-cps03202 avg. like is -47.2467 over 123 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3500 utterances; for utterance s03m3ccgwb01-20150804-Korean-cps03254 avg. like is -50.7313 over 114 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3550 utterances; for utterance s03m3ccgwb01-20150804-Korean-cps03306 avg. like is -50.8785 over 120 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3600 utterances; for utterance s03m3ccgwb01-20150804-Korean-cps03358 avg. like is -50.7387 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3650 utterances; for utterance s03m3ccgwb01-20150804-Korean-cps03410 avg. like is -45.8639 over 128 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3700 utterances; for utterance s03m3ccgwb01-20150804-Koreanbabble2SNR10-cps03042 avg. like is -41.7383 over 145 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3750 utterances; for utterance s03m3ccgwb01-20150804-Koreanbabble2SNR10-cps03092 avg. like is -42.2649 over 135 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3800 utterances; for utterance s03m3ccgwb01-20150804-Koreanbabble2SNR10-cps03145 avg. like is -45.5255 over 131 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3850 utterances; for utterance s03m3ccgwb01-20150804-Koreanbabble2SNR10-cps03196 avg. like is -46.0089 over 117 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3900 utterances; for utterance s03m3ccgwb01-20150804-Koreanbabble2SNR10-cps03248 avg. like is -40.8384 over 140 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3950 utterances; for utterance s03m3ccgwb01-20150804-Koreanbabble2SNR10-cps03300 avg. like is -43.1564 over 151 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4000 utterances; for utterance s03m3ccgwb01-20150804-Koreanbabble2SNR10-cps03352 avg. like is -44.3873 over 122 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4050 utterances; for utterance s03m3ccgwb01-20150804-Koreanbabble2SNR10-cps03403 avg. like is -43.2226 over 141 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4100 utterances; for utterance s03m3jrhsj02-20150804-Korean-cps03036 avg. like is -45.1542 over 131 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4150 utterances; for utterance s03m3jrhsj02-20150804-Korean-cps03086 avg. like is -48.4283 over 175 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4200 utterances; for utterance s03m3jrhsj02-20150804-Korean-cps03137 avg. like is -46.2479 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4250 utterances; for utterance s03m3jrhsj02-20150804-Korean-cps03188 avg. like is -49.0651 over 158 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4300 utterances; for utterance s03m3jrhsj02-20150804-Korean-cps03238 avg. like is -48.0485 over 131 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4350 utterances; for utterance s03m3jrhsj02-20150804-Korean-cps03288 avg. like is -47.3537 over 145 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4400 utterances; for utterance s03m3jrhsj02-20150804-Korean-cps03339 avg. like is -49.9331 over 141 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4450 utterances; for utterance s03m3jrhsj02-20150804-Korean-cps03389 avg. like is -44.9244 over 110 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4500 utterances; for utterance s03m3jrhsj02-20150804-KoreanvolvoSNR10-cps03022 avg. like is -45.717 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4550 utterances; for utterance s03m3jrhsj02-20150804-KoreanvolvoSNR10-cps03072 avg. like is -46.2166 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4600 utterances; for utterance s03m3jrhsj02-20150804-KoreanvolvoSNR10-cps03122 avg. like is -43.7728 over 141 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4650 utterances; for utterance s03m3jrhsj02-20150804-KoreanvolvoSNR10-cps03174 avg. like is -46.4008 over 166 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4700 utterances; for utterance s03m3jrhsj02-20150804-KoreanvolvoSNR10-cps03224 avg. like is -42.1109 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4750 utterances; for utterance s03m3jrhsj02-20150804-KoreanvolvoSNR10-cps03274 avg. like is -48.1676 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4800 utterances; for utterance s03m3jrhsj02-20150804-KoreanvolvoSNR10-cps03325 avg. like is -45.3383 over 103 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4850 utterances; for utterance s03m3jrhsj02-20150804-KoreanvolvoSNR10-cps03375 avg. like is -44.9434 over 135 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4900 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03008 avg. like is -50.0068 over 123 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4950 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03059 avg. like is -46.2389 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5000 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03109 avg. like is -52.3065 over 148 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5050 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03161 avg. like is -50.3624 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5100 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03212 avg. like is -47.5899 over 159 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5150 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03262 avg. like is -42.4725 over 131 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5200 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03313 avg. like is -46.6085 over 139 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5250 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03363 avg. like is -46.0271 over 133 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5300 utterances; for utterance s03m3jrsbc01-20150804-Korean-cps03414 avg. like is -49.0736 over 149 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5350 utterances; for utterance s03m3jrsbc01-20150804-Koreanbabble2SNR10-cps03047 avg. like is -48.3865 over 142 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5400 utterances; for utterance s03m3jrsbc01-20150804-Koreanbabble2SNR10-cps03097 avg. like is -45.7265 over 128 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5450 utterances; for utterance s03m3jrsbc01-20150804-Koreanbabble2SNR10-cps03149 avg. like is -45.558 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5500 utterances; for utterance s03m3jrsbc01-20150804-Koreanbabble2SNR10-cps03200 avg. like is -46.9964 over 151 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5550 utterances; for utterance s03m3jrsbc01-20150804-Koreanbabble2SNR10-cps03250 avg. like is -46.6868 over 139 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5600 utterances; for utterance s03m3jrsbc01-20150804-Koreanbabble2SNR10-cps03301 avg. like is -46.007 over 175 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5650 utterances; for utterance s03m3jrsbc01-20150804-Koreanbabble2SNR10-cps03351 avg. like is -46.7855 over 144 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5700 utterances; for utterance s03m3jrsbc01-20150804-Koreanbabble2SNR10-cps03401 avg. like is -42.732 over 132 frames.
