# gmm-acc-stats-ali exp/tri3b/23.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.7.gz|" exp/tri3b/23.7.acc 
# Started at Tue May  7 16:19:53 KST 2019
#
gmm-acc-stats-ali exp/tri3b/23.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.7.gz|' exp/tri3b/23.7.acc 
transform-feats --utt2spk=ark:data/train/split8/7/utt2spk ark:exp/tri3b/trans.7 ark:- ark:- 
apply-cmvn --utt2spk=ark:data/train/split8/7/utt2spk scp:data/train/split8/7/cmvn.scp scp:data/train/split8/7/feats.scp ark:- 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
splice-feats ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s03f3ssjjh01-20150804-Korean-cps03051 avg. like is -49.2894 over 164 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1000 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03173 avg. like is -48.4075 over 185 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1050 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03223 avg. like is -47.465 over 200 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1100 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03273 avg. like is -41.7524 over 214 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1150 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03323 avg. like is -43.6764 over 225 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1200 utterances; for utterance s03f3ssrhg01-20150804-Korean-cps03373 avg. like is -49.2061 over 249 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1250 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03007 avg. like is -42.2686 over 189 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1300 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03057 avg. like is -41.1913 over 154 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1350 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03107 avg. like is -43.8447 over 200 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1400 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03158 avg. like is -45.3898 over 205 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1450 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03208 avg. like is -45.1214 over 227 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1500 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03258 avg. like is -46.1696 over 212 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1550 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03308 avg. like is -42.5524 over 183 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1600 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03358 avg. like is -45.5614 over 183 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1650 utterances; for utterance s03f3ssrhg01-20150804-Koreanbabble2SNR10-cps03410 avg. like is -44.2208 over 194 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1700 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03044 avg. like is -53.9216 over 153 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1750 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03094 avg. like is -51.6222 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1800 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03144 avg. like is -44.956 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1850 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03194 avg. like is -48.1637 over 112 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1900 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03244 avg. like is -51.6345 over 147 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 1950 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03296 avg. like is -50.9577 over 138 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2000 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03347 avg. like is -48.6518 over 156 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2050 utterances; for utterance s03f4ssggc01-20150804-Korean-cps03397 avg. like is -52.7093 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2100 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03032 avg. like is -41.2153 over 178 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2150 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03082 avg. like is -36.4783 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2200 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03132 avg. like is -36.4421 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2250 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03182 avg. like is -40.3911 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2300 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03232 avg. like is -36.3348 over 134 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2350 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03283 avg. like is -39.8682 over 127 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2400 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03335 avg. like is -41.6502 over 155 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2450 utterances; for utterance s03f4ssggc01-20150804-Koreanfactory1SNR10-cps03385 avg. like is -37.6997 over 131 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2500 utterances; for utterance s03fc3cys01-20150803-Korean-s03a018 avg. like is -51.7844 over 307 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2550 utterances; for utterance s03fc3cys01-20150803-Korean-s03a068 avg. like is -49.9423 over 245 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2600 utterances; for utterance s03fc3cys01-20150803-Korean-s03a120 avg. like is -49.8104 over 255 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2650 utterances; for utterance s03fc3cys01-20150803-Koreanfactory1SNR10-s03a029 avg. like is -42.998 over 351 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2700 utterances; for utterance s03fc3cys01-20150803-Koreanfactory1SNR10-s03a079 avg. like is -38.394 over 233 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2750 utterances; for utterance s03fc3cys01-20150803-Koreanfactory1SNR10-s03a131 avg. like is -41.4632 over 281 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2800 utterances; for utterance s03fg2cjk00-20150803-Korean-s03a040 avg. like is -51.79 over 228 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2850 utterances; for utterance s03fg2cjk00-20150803-Korean-s03a090 avg. like is -54.3527 over 341 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2900 utterances; for utterance s03fg2cjk00-20150803-Korean-s03a140 avg. like is -57.2303 over 224 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2950 utterances; for utterance s03fg2cjk00-20150803-KoreanhfchannelSNR10-s03a049 avg. like is -41.6455 over 256 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3000 utterances; for utterance s03fg2cjk00-20150803-KoreanhfchannelSNR10-s03a099 avg. like is -40.7537 over 281 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3050 utterances; for utterance s03fg4jun00-20150803-Korean-s03a008 avg. like is -47.1837 over 202 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3100 utterances; for utterance s03fg4jun00-20150803-Korean-s03a058 avg. like is -51.1857 over 239 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3150 utterances; for utterance s03fg4jun00-20150803-Korean-s03a110 avg. like is -52.7449 over 261 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3200 utterances; for utterance s03fg4jun00-20150803-KoreanhfchannelSNR10-s03a019 avg. like is -39.1326 over 212 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3250 utterances; for utterance s03fg4jun00-20150803-KoreanhfchannelSNR10-s03a069 avg. like is -41.5652 over 249 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3300 utterances; for utterance s03fg4jun00-20150803-KoreanhfchannelSNR10-s03a121 avg. like is -39.4391 over 197 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3350 utterances; for utterance s03fj4hej00-20150803-Korean-s03a030 avg. like is -54.371 over 300 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3400 utterances; for utterance s03fj4hej00-20150803-Korean-s03a080 avg. like is -51.1534 over 233 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3450 utterances; for utterance s03fj4hej00-20150803-Korean-s03a130 avg. like is -57.6885 over 351 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3500 utterances; for utterance s03fj4hej00-20150803-KoreanwhiteSNR10-s03a039 avg. like is -37.8265 over 204 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3550 utterances; for utterance s03fj4hej00-20150803-KoreanwhiteSNR10-s03a089 avg. like is -40.9592 over 242 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3600 utterances; for utterance s03fj4hej00-20150803-KoreanwhiteSNR10-s03a139 avg. like is -39.0258 over 168 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3650 utterances; for utterance s03fs2oeh00-20150803-Korean-s03a048 avg. like is -49.8768 over 206 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3700 utterances; for utterance s03fs2oeh00-20150803-Korean-s03a098 avg. like is -52.9249 over 249 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3750 utterances; for utterance s03fs2oeh00-20150803-KoreanwhiteSNR10-s03a008 avg. like is -35.2744 over 194 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3800 utterances; for utterance s03fs2oeh00-20150803-KoreanwhiteSNR10-s03a058 avg. like is -36.9633 over 248 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3850 utterances; for utterance s03fs2oeh00-20150803-KoreanwhiteSNR10-s03a108 avg. like is -38.3166 over 322 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3900 utterances; for utterance s03fs3ljh01-20150803-Korean-s03a018 avg. like is -51.9523 over 317 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3950 utterances; for utterance s03fs3ljh01-20150803-Korean-s03a068 avg. like is -49.4584 over 240 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4000 utterances; for utterance s03fs3ljh01-20150803-Korean-s03a119 avg. like is -51.9179 over 242 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4050 utterances; for utterance s03fs3ljh01-20150803-KoreandestroyeropsSNR10-s03a028 avg. like is -41.6793 over 293 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4100 utterances; for utterance s03fs3ljh01-20150803-KoreandestroyeropsSNR10-s03a079 avg. like is -40.3716 over 213 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4150 utterances; for utterance s03fs3ljh01-20150803-KoreandestroyeropsSNR10-s03a129 avg. like is -42.1867 over 233 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4200 utterances; for utterance s03fs4shs01-20150803-Korean-s03a038 avg. like is -48.8647 over 193 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4250 utterances; for utterance s03fs4shs01-20150803-Korean-s03a088 avg. like is -48.849 over 250 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4300 utterances; for utterance s03fs4shs01-20150803-Korean-s03a139 avg. like is -45.9387 over 151 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4350 utterances; for utterance s03fs4shs01-20150803-KoreanpinkSNR10-s03a048 avg. like is -35.3348 over 198 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4400 utterances; for utterance s03fs4shs01-20150803-KoreanpinkSNR10-s03a099 avg. like is -40.1728 over 316 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4450 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03008 avg. like is -45.1734 over 142 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4500 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03058 avg. like is -42.2905 over 187 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4550 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03108 avg. like is -42.6372 over 133 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4600 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03158 avg. like is -48.3373 over 151 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4650 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03208 avg. like is -48.0558 over 194 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4700 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03258 avg. like is -48.1776 over 206 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4750 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03308 avg. like is -43.936 over 145 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4800 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03358 avg. like is -45.0526 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4850 utterances; for utterance s03m1ccscm01-20150804-Korean-cps03408 avg. like is -44.0994 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4900 utterances; for utterance s03m1ccscm01-20150804-KoreanleopardSNR10-cps03040 avg. like is -45.6504 over 201 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4950 utterances; for utterance s03m1ccscm01-20150804-KoreanleopardSNR10-cps03090 avg. like is -46.2178 over 159 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5000 utterances; for utterance s03m1ccscm01-20150804-KoreanleopardSNR10-cps03140 avg. like is -41.5931 over 193 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5050 utterances; for utterance s03m1ccscm01-20150804-KoreanleopardSNR10-cps03190 avg. like is -45.0971 over 173 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5100 utterances; for utterance s03m1ccscm01-20150804-KoreanleopardSNR10-cps03240 avg. like is -44.1782 over 165 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5150 utterances; for utterance s03m1ccscm01-20150804-KoreanleopardSNR10-cps03290 avg. like is -47.7434 over 171 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5200 utterances; for utterance s03m1ccscm01-20150804-KoreanleopardSNR10-cps03340 avg. like is -41.0688 over 142 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5250 utterances; for utterance s03m1ccscm01-20150804-KoreanleopardSNR10-cps03390 avg. like is -44.9902 over 141 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5300 utterances; for utterance s03m1jrssj01-20150804-Korean-cps03022 avg. like is -45.0094 over 163 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5350 utterances; for utterance s03m1jrssj01-20150804-Korean-cps03072 avg. like is -46.8875 over 157 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5400 utterances; for utterance s03m1jrssj01-20150804-Korean-cps03122 avg. like is -41.2634 over 169 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5450 utterances; for utterance s03m1jrssj01-20150804-Korean-cps03172 avg. like is -46.9849 over 170 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5500 utterances; for utterance s03m1jrssj01-20150804-Korean-cps03223 avg. like is -47.227 over 167 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5550 utterances; for utterance s03m1jrssj01-20150804-Korean-cps03274 avg. like is -47.6119 over 172 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5600 utterances; for utterance s03m1jrssj01-20150804-Korean-cps03326 avg. like is -40.1963 over 152 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5650 utterances; for utterance s03m1jrssj01-20150804-Korean-cps03376 avg. like is -41.8088 over 153 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5700 utterances; for utterance s03m1jrssj01-20150804-Koreanfactory1SNR10-cps03009 avg. like is -42.756 over 157 frames.
