# gmm-acc-stats-ali exp/tri3b/25.mdl "ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/1/utt2spk scp:data/train/split8/1/cmvn.scp scp:data/train/split8/1/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/1/utt2spk ark:exp/tri3b/trans.1 ark:- ark:- |" "ark,s,cs:gunzip -c exp/tri3b/ali.1.gz|" exp/tri3b/25.1.acc 
# Started at Tue May  7 16:20:41 KST 2019
#
gmm-acc-stats-ali exp/tri3b/25.mdl 'ark,s,cs:apply-cmvn  --utt2spk=ark:data/train/split8/1/utt2spk scp:data/train/split8/1/cmvn.scp scp:data/train/split8/1/feats.scp ark:- | splice-feats  ark:- ark:- | transform-feats exp/tri2b_ali/final.mat ark:- ark:- | transform-feats --utt2spk=ark:data/train/split8/1/utt2spk ark:exp/tri3b/trans.1 ark:- ark:- |' 'ark,s,cs:gunzip -c exp/tri3b/ali.1.gz|' exp/tri3b/25.1.acc 
apply-cmvn --utt2spk=ark:data/train/split8/1/utt2spk scp:data/train/split8/1/cmvn.scp scp:data/train/split8/1/feats.scp ark:- 
transform-feats --utt2spk=ark:data/train/split8/1/utt2spk ark:exp/tri3b/trans.1 ark:- ark:- 
splice-feats ark:- ark:- 
transform-feats exp/tri2b_ali/final.mat ark:- ark:- 
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 50 utterances; for utterance s001fcc3pjh02-20150804-Korean-set001050 avg. like is -47.2285 over 858 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2800 utterances; for utterance s004m2mjh00_r-20150804-Koreanbabble2SNR10-set004067 avg. like is -46.9355 over 453 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2850 utterances; for utterance s004mcc5cbb00-20150804-Korean-set004011 avg. like is -51.5604 over 908 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2900 utterances; for utterance s004mcc5cbb00-20150804-Korean-set004061 avg. like is -50.2703 over 638 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 2950 utterances; for utterance s004mcc5cbb00-20150804-Koreanfactory1SNR10-set004006 avg. like is -41.5197 over 1078 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3000 utterances; for utterance s004mcc5cbb00-20150804-Koreanfactory1SNR10-set004056 avg. like is -41.0065 over 768 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3050 utterances; for utterance s005fcc3ljs00-20150804-Korean-set005001 avg. like is -57.4407 over 586 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3100 utterances; for utterance s005fcc3ljs00-20150804-Korean-set005051 avg. like is -50.5371 over 778 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3150 utterances; for utterance s005fcc3ljs00-20150804-Korean-set005101 avg. like is -48.6409 over 438 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3200 utterances; for utterance s005fcc3ljs00-20150804-KoreanhfchannelSNR10-set005046 avg. like is -40.0168 over 788 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3250 utterances; for utterance s005fcc3ljs00-20150804-KoreanhfchannelSNR10-set005096 avg. like is -38.8732 over 438 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3300 utterances; for utterance s005m2jjp00-20150804-Korean-set005041 avg. like is -50.2026 over 366 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3350 utterances; for utterance s005m2jjp00-20150804-Korean-set005091 avg. like is -51.4208 over 479 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3400 utterances; for utterance s005m2jjp00-20150804-KoreanvolvoSNR10-set005035 avg. like is -47.4415 over 551 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3450 utterances; for utterance s005m2jjp00-20150804-KoreanvolvoSNR10-set005085 avg. like is -49.4967 over 205 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3500 utterances; for utterance s005m2jjp00_r-20150804-Korean-set005029 avg. like is -53.0475 over 693 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3550 utterances; for utterance s005m2jjp00_r-20150804-Korean-set005079 avg. like is -52.5377 over 287 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3600 utterances; for utterance s005m2jjp00_r-20150804-Koreanfactory2SNR10-set005023 avg. like is -43.481 over 304 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3650 utterances; for utterance s005m2jjp00_r-20150804-Koreanfactory2SNR10-set005073 avg. like is -42.3458 over 333 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3700 utterances; for utterance s006fss3kds01-20150804-Korean-set006017 avg. like is -47.4583 over 678 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3750 utterances; for utterance s006fss3kds01-20150804-Korean-set006067 avg. like is -49.8847 over 1078 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3800 utterances; for utterance s006fss3kds01-20150804-Koreanfactory1SNR10-set006012 avg. like is -41.8275 over 1358 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3850 utterances; for utterance s006fss3kds01-20150804-Koreanfactory1SNR10-set006062 avg. like is -41.3069 over 668 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3900 utterances; for utterance s006m2ybh00_r-20150804-Korean-set006007 avg. like is -53.5347 over 636 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 3950 utterances; for utterance s006m2ybh00_r-20150804-Korean-set006057 avg. like is -50.5448 over 347 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4000 utterances; for utterance s006m2ybh00_r-20150804-KoreanwhiteSNR10-set006002 avg. like is -41.1185 over 482 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4050 utterances; for utterance s006m2ybh00_r-20150804-KoreanwhiteSNR10-set006052 avg. like is -38.615 over 364 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4100 utterances; for utterance s006m2ybh00_r-20150804-KoreanwhiteSNR10-set006102 avg. like is -41.1886 over 464 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4150 utterances; for utterance s006mjr2kmh00-20150804-Korean-set006047 avg. like is -46.4142 over 538 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4200 utterances; for utterance s006mjr2kmh00-20150804-Korean-set006097 avg. like is -45.7394 over 668 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4250 utterances; for utterance s006mjr2kmh00-20150804-Koreancar1SNR10-set006042 avg. like is -43.6305 over 768 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4300 utterances; for utterance s006mjr2kmh00-20150804-Koreancar1SNR10-set006092 avg. like is -42.4034 over 658 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4350 utterances; for utterance s007fss4yjh04-20150804-Korean-set007037 avg. like is -49.7951 over 838 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4400 utterances; for utterance s007fss4yjh04-20150804-Korean-set007087 avg. like is -46.4319 over 608 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4450 utterances; for utterance s007fss4yjh04-20150804-Koreanleopard2SNR10-set007032 avg. like is -43.2543 over 1048 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4500 utterances; for utterance s007fss4yjh04-20150804-Koreanleopard2SNR10-set007082 avg. like is -42.6119 over 658 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4550 utterances; for utterance s007m2yyp00-20150804-Korean-set007027 avg. like is -49.3355 over 524 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4600 utterances; for utterance s007m2yyp00-20150804-Korean-set007077 avg. like is -51.064 over 744 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4650 utterances; for utterance s007m2yyp00-20150804-Koreanbabble1SNR10-set007022 avg. like is -45.4659 over 344 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4700 utterances; for utterance s007m2yyp00-20150804-Koreanbabble1SNR10-set007072 avg. like is -45.2581 over 525 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4750 utterances; for utterance s007m2yyp00_r-20150804-Korean-set007017 avg. like is -49.3583 over 422 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4800 utterances; for utterance s007m2yyp00_r-20150804-Korean-set007067 avg. like is -52.2811 over 1316 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4850 utterances; for utterance s007m2yyp00_r-20150804-Koreanfactory2SNR10-set007012 avg. like is -44.5264 over 883 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4900 utterances; for utterance s007m2yyp00_r-20150804-Koreanfactory2SNR10-set007062 avg. like is -44.739 over 405 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 4950 utterances; for utterance s007mkw2jmg00-20150804-Korean-set007007 avg. like is -47.625 over 1068 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5000 utterances; for utterance s007mkw2jmg00-20150804-Korean-set007057 avg. like is -46.4679 over 868 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5050 utterances; for utterance s007mkw2jmg00-20150804-KoreanleopardSNR10-set007002 avg. like is -42.0818 over 878 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5100 utterances; for utterance s007mkw2jmg00-20150804-KoreanleopardSNR10-set007052 avg. like is -42.8745 over 758 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5150 utterances; for utterance s007mkw2jmg00-20150804-KoreanleopardSNR10-set007102 avg. like is -43.4796 over 1168 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5200 utterances; for utterance s008fcc3jmo00-20150804-Korean-set008047 avg. like is -44.9727 over 568 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5250 utterances; for utterance s008fcc3jmo00-20150804-Korean-set008097 avg. like is -50.9423 over 568 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5300 utterances; for utterance s008fcc3jmo00-20150804-KoreanwhiteSNR10-set008042 avg. like is -37.0982 over 578 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5350 utterances; for utterance s008fcc3jmo00-20150804-KoreanwhiteSNR10-set008092 avg. like is -38.1693 over 678 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5400 utterances; for utterance s008m2lhs00-20150804-Korean-set008037 avg. like is -48.47 over 314 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5450 utterances; for utterance s008m2lhs00-20150804-Korean-set008087 avg. like is -51.7526 over 296 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5500 utterances; for utterance s008m2lhs00-20150804-KoreanleopardSNR10-set008032 avg. like is -45.8735 over 386 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5550 utterances; for utterance s008m2lhs00-20150804-KoreanleopardSNR10-set008082 avg. like is -47.3363 over 305 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5600 utterances; for utterance s008m2lhs00_r-20150804-Korean-set008027 avg. like is -48.9261 over 375 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5650 utterances; for utterance s008m2lhs00_r-20150804-Korean-set008077 avg. like is -49.8403 over 408 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5700 utterances; for utterance s008m2lhs00_r-20150804-Koreanleopard2SNR10-set008022 avg. like is -48.1338 over 251 frames.
LOG (gmm-acc-stats-ali[5.5.52-6d919]:main():gmm-acc-stats-ali.cc:105) Processed 5750 utterances; for utterance s008m2lhs00_r-20150804-Koreanleopard2SNR10-set008072 avg. like is -48.5865 over 772 frames.
